Experience Name,Description,Duration,Price,Type,URL,Vendor
Amsterdam: Canal Cruise with Unlimited Cheese & Wine Option,"Relax on a canal cruise through Amsterdam's UNESCO-listed canals, enjoying unlimited Dutch cheese and wine.",1 hour,$26.05,Boat / Cruise;Food & Drink Experience;Wellness Experience;Wine Tasting,https://www.getyourguide.com/amsterdam-l36/amsterdam-canal-cruise-with-unlimited-cheese-wine-option-t12345/,GetYourGuide
Van Gogh Museum Ticket,Explore the world's largest collection of Van Gogh's paintings and learn about his life and work.,1.5 hours,$28.28,Art Experience;Museum,https://www.getyourguide.com/amsterdam-l36/amsterdam-van-gogh-museum-ticket-t67890/,GetYourGuide
Heineken Experience Ticket,"Discover the dynamic world of Heineken, including a tour of the brewery and tastings.",1.5 hours,$27.13,Beer Tour / Brewery,https://www.getyourguide.com/amsterdam-l36/amsterdam-heineken-experience-ticket-t13579/,GetYourGuide
Amsterdam: Luxury Cruise with Unlimited Drinks & Small Bite,"Enjoy a luxurious canal cruise with unlimited drinks and a small bite, taking in Amsterdam's iconic sights.",1-1.5 hours,$24.96,Boat / Cruise;Luxury Experience,https://www.getyourguide.com/amsterdam-l36/amsterdam-luxury-cruise-unlimited-drinks-small-bite-t24680/,GetYourGuide
Rijksmuseum Entry Ticket,Visit the Rijksmuseum to see masterpieces from Dutch artists like Rembrandt and Vermeer.,Flexible,$22.50,Art Experience;Museum,https://www.getyourguide.com/amsterdam-l36/amsterdam-rijksmuseum-entry-ticket-t13580/,GetYourGuide
Amsterdam: City Centre Canal Cruise,"Cruise through Amsterdam's historic city center, passing landmarks like the Anne Frank House and Skinny Bridge.",1 hour,$19.03,Boat / Cruise;Historical Experience,https://www.getyourguide.com/amsterdam-l36/amsterdam-city-centre-canal-cruise-t13581/,GetYourGuide
WONDR Immersive Playground Experience Ticket,Immerse yourself in a colorful playground filled with interactive exhibits and photo opportunities.,Flexible,$28.22,Immersive / Interactive Experience,https://www.getyourguide.com/amsterdam-l36/wondr-immersive-playground-experience-ticket-t13582/,GetYourGuide
Amsterdam: AMAZE Immersive Audiovisual Experience Ticket,"Experience a journey through immersive audiovisual spaces, blending technology and creativity.",1 hour,$29.31,Immersive / Interactive Experience,https://www.getyourguide.com/amsterdam-l36/amsterdam-amaze-immersive-audiovisual-experience-ticket-t13583/,GetYourGuide
The Upside Down Museum Entrance Ticket,"Explore the largest interactive Instagram museum, featuring mind-bending rooms and installations.",Flexible,$27.13,Immersive / Interactive Experience;Museum,https://www.getyourguide.com/amsterdam-l36/the-upside-down-museum-entrance-ticket-t13584/,GetYourGuide
Johan Cruijff ArenA Tour with Optional Guide,"Go behind the scenes of the Johan Cruijff ArenA, home to AFC Ajax, with an optional guided tour.",75 minutes,$21.75,Stadium / Arena,https://www.getyourguide.com/amsterdam-l36/johan-cruijff-arena-tour-with-optional-guide-t13585/,GetYourGuide
Amsterdam: Life of Anne Frank and World War II Walking Tour,Learn about Amsterdam during World War II and the life of Anne Frank on this guided walking tour.,2 hours,$35.35,Historical Experience,https://www.getyourguide.com/amsterdam-l36/amsterdam-life-of-anne-frank-and-world-war-ii-walking-tour-t13586/,GetYourGuide
Amsterdam: Smoke and Lounge City Boat Cruise,Enjoy a relaxed boat cruise through Amsterdam's canals with a smoke-friendly environment.,70 minutes,$29.36,Boat / Cruise;Nightlife Experience;Wellness Experience,https://www.getyourguide.com/amsterdam-l36/amsterdam-smoke-and-lounge-city-boat-cruise-t13587/,GetYourGuide
Keukenhof Ticket and Roundtrip Shuttle Transfer,Visit the famous Keukenhof Gardens with roundtrip shuttle transfers from Amsterdam.,8 hours,$38.06,Nature & Outdoor Experience,https://www.getyourguide.com/amsterdam-l36/keukenhof-ticket-and-roundtrip-shuttle-transfer-t13588/,GetYourGuide
Amsterdam: Red Light District Tour,Explore Amsterdam's infamous Red Light District with a knowledgeable guide.,1.5 hours,$28.28,Nightlife Experience,https://www.getyourguide.com/amsterdam-l36/amsterdam-red-light-district-tour-t13589/,GetYourGuide
Amsterdam: Canal Booze Cruise with Unlimited Drinks Option,Party on a canal cruise with unlimited drinks as you take in Amsterdam's nightlife from the water.,1 hour,$24.96,Art Experience;Boat / Cruise,https://www.getyourguide.com/amsterdam-l36/amsterdam-canal-booze-cruise-with-unlimited-drinks-option-t13590/,GetYourGuide
Amsterdam: Canal/Tulip Garden Photoshoot with Edited Photos,Capture your Amsterdam memories with a professional photoshoot in the city's iconic locations.,15-50 minutes,$57.64,Boat / Cruise;Nature & Outdoor Experience;Photography Experience,https://www.getyourguide.com/amsterdam-l36/amsterdam-canal-tulip-garden-photoshoot-with-edited-photos-t13591/,GetYourGuide
Amsterdam: Top Highlights Guided Bike Tour EN/DE/ES/FR/IT/CN,Discover Amsterdam's top highlights on a guided bike tour available in multiple languages.,1.5 hours,$28.28,Bike Tour,https://www.getyourguide.com/amsterdam-l36/amsterdam-top-highlights-guided-bike-tour-en-de-es-fr-it-cn-t13592/,GetYourGuide
Amsterdam: Luxury Cruise Unlimited Cocktails & Snacks Option,Indulge in unlimited cocktails and snacks on a luxurious canal cruise through Amsterdam.,1 hour,$26.05,Boat / Cruise;Food & Drink Experience;Luxury Experience,https://www.getyourguide.com/amsterdam-l36/amsterdam-luxury-cruise-unlimited-cocktails-snacks-option-t13593/,GetYourGuide
